Total,Crew,passenger,Ground,T,Incident[a],Phase,Year,Month,days_of_week,surivors,Country,City,accident ,Reason,Aircraft_name,Aircraft_model,flight_company
191,9,182,0,COM,Martinair Flight 138,ENR ,1974,12,Wednesday,no survivors,Sri Lanka,near Maskeliya,Exploded,System failure,Douglas,DC-8-55CF,Martinair Flight 138
189,8,181,0,COM,Lion Air Flight 610,ENR ,2018,10,Monday,no survivors,Indonesia,Java Sea,Collied,System failure,Boeing,737,Lion Air Flight
189,6,58,125,INH,American Airlines Flight 77,ENR ,2001,9,Tuesday,no survivors,U.S.,Arlington,Crashed,Bomb planted,Boeing,757-223,American Airlines Flight
189,13,176,0,COM,Birgenair Flight 301,ENR ,1996,2,Tuesday,no survivors,Dominican Republic,Atlantic Ocean,explosion,after takeoff,Boeing,757-225,Birgenair Flight 301
188,7,181,0,COM,Royal Air Maroc (JY-AEE),ENR ,1975,8,Sunday,no survivors,Morocco,Tamri,caught fire ,missile attack,Boeing,707-321C,Royal Air Maroc
183,11,172,0,COM,LOT Polish Airlines Flight 5055,ENR f,1987,5,Saturday,no survivors,Poland,Warsaw,Shot down,mountain collied,Ilyushin,Il-62M,LOT Polish Airlines
183,8,175,0,COM,Loftleiðir Flight 001,APR ,1978,11,Wednesday,no survivors,Sri Lanka,Katunayake,Crashed ,engine problem,Douglas,DC-8-63CF,Loftleiðir Flight 001
181,19,162,0,COM,Avianca Flight 011,APR ,1983,11,Sunday,no survivors,Spain,Madrid,Crashed,Wing failure,Boeing,747-283B,Avianca Flight 011
180,7,173,0,COM,Inex-Adria Aviopromet Flight 1308,ENR ,1981,12,Tuesday,no survivors,France,Mount San Pietro,Crashed,terrorist attack,McDonnell,Douglas,Inex-Adria Aviopromet Flight
179,4,175,0,COM,Jeju Air Flight 2216,LDG ,2024,12,Sunday,no survivors,South Korea,Muan,Bomded,aircraft,Boeing,737-800,Jeju Air Flight
178,5,169,4,COM,Aeroflot Flight 3352,LDG ,1984,10,Thursday,no survivors,USSR,Omsk,Shot down,System failure,Tupolev,Tu-154,Aeroflot Flight 3352
178,13,165,0,COM,Aeroflot Flight 7628  and Aeroflot Flight 7880,ENR ,1979,8,Saturday,no survivors,USSR,near Dniprodzerzhynsk,Crashed,unable to control,Tupolev,Tu-134A,Aeroflot Flight 7628
